Gene,SubType,Spearman Rho,UniqueMutations,PV,Sig,RoleinCancer,BinnedRole,Pearson,PearsonPValue,EnsemblGeneId,Cellular Component,Biological Process,Molecular Function
CASP8,Nonsense,0.733497634544059,20,0.000233013176701884,Y,TSG,TSG,0.531224769889318,0.0159416542952424,ENSG00000064012,"GO:0005737|cytoplasm, GO:0005829|cytosol, GO:0005654|nucleoplasm, GO:0005856|cytoskeleton, GO:0005741|mitochondrial outer membrane, GO:0005739|mitochondrion, GO:0031264|death-inducing signaling complex, GO:0097342|ripoptosome, GO:0031265|CD95 death-inducing signaling complex, GO:0005634|nucleus, GO:0032991|protein-containing complex, GO:0043005|neuron projection, GO:0044297|cell body, GO:0045121|membrane raft","GO:0042981|regulation of apoptotic process, GO:0006915|apoptotic process, GO:0006508|proteolysis, GO:0016032|viral process, GO:0043123|positive regulation of I-kappaB kinase/NF-kappaB signaling, GO:0071260|cellular response to mechanical stimulus, GO:0042113|B cell activation, GO:0035666|TRIF-dependent toll-like receptor signaling pathway, GO:0097190|apoptotic signaling pathway, GO:0006919|activation of cysteine-type endopeptidase activity involved in apoptotic process, GO:0007166|cell surface receptor signaling pathway, GO:0036462|TRAIL-activated apoptotic signaling pathway, GO:0097191|extrinsic apoptotic signaling pathway, GO:1902041|regulation of extrinsic apoptotic signaling pathway via death domain receptors, GO:1902042|negative regulation of extrinsic apoptotic signaling pathway via death domain receptors, GO:0030101|natural killer cell activation, GO:0042110|T cell activation, GO:0097194|execution phase of apoptosis, GO:0034612|response to tumor necrosis factor, GO:0043124|negative regulation of I-kappaB kinase/NF-kappaB signaling, GO:0010803|regulation of tumor necrosis factor-mediated signaling pathway, GO:1900740|positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway, GO:0034138|toll-like receptor 3 signaling pathway, GO:0070423|nucleotide-binding oligomerization domain containing signaling pathway, GO:0008625|extrinsic apoptotic signaling pathway via death domain receptors, GO:0071550|death-inducing signaling complex assembly, GO:0045651|positive regulation of macrophage differentiation, GO:0030225|macrophage differentiation, GO:0051603|proteolysis involved in cellular protein catabolic process, GO:0045862|positive regulation of proteolysis, GO:0097202|activation of cysteine-type endopeptidase activity, GO:0060544|regulation of necroptotic process, GO:0039650|suppression by virus of host cysteine-type endopeptidase activity involved in apoptotic process, GO:0060715|syncytiotrophoblast cell differentiation involved in labyrinthine layer development, GO:0097296|activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway, GO:0009409|response to cold, GO:0032025|response to cobalt ion, GO:0032355|response to estradiol, GO:0032496|response to lipopolysaccharide, GO:0045471|response to ethanol, GO:0046677|response to antibiotic, GO:0071407|cellular response to organic cyclic compound, GO:1901216|positive regulation of neuron death","GO:0016787|hydrolase activity, GO:0005515|protein binding, GO:0008233|peptidase activity, GO:0008234|cysteine-type peptidase activity, GO:0004197|cysteine-type endopeptidase activity, GO:0042802|identical protein binding, GO:0031625|ubiquitin protein ligase binding, GO:0097153|cysteine-type endopeptidase activity involved in apoptotic process, GO:0097199|cysteine-type endopeptidase activity involved in apoptotic signaling pathway, GO:0035877|death effector domain binding, GO:0097110|scaffold protein binding, GO:0005123|death receptor binding, GO:0005164|tumor necrosis factor receptor binding, GO:0044877|protein-containing complex binding"
FBXW7,Nonsense,0.690960959191143,26,9.30774716134133e-05,Y,TSG,TSG,0.651648550909205,0.000310545523215371,ENSG00000109670,"GO:0005634|nucleus, GO:0005737|cytoplasm, GO:0005654|nucleoplasm, GO:0005730|nucleolus, GO:0005829|cytosol, GO:1990452|Parkin-FBXW7-Cul1 ubiquitin ligase complex, GO:0019005|SCF ubiquitin ligase complex, GO:0005739|mitochondrion, GO:0005783|endoplasmic reticulum, GO:0005794|Golgi apparatus, GO:0048471|perinuclear region of cytoplasm","GO:0010629|negative regulation of gene expression, GO:0050821|protein stabilization, GO:0070374|positive regulation of ERK1 and ERK2 cascade, GO:0010868|negative regulation of triglyceride biosynthetic process, GO:0055088|lipid homeostasis, GO:0045746|negative regulation of Notch signaling pathway, GO:0016567|protein ubiquitination, GO:0043161|proteasome-mediated ubiquitin-dependent protein catabolic process, GO:0043687|post-translational protein modification, GO:0016032|viral process, GO:1903146|regulation of autophagy of mitochondrion, GO:2000060|positive regulation of ubiquitin-dependent protein catabolic process, GO:1903955|positive regulation of protein targeting to mitochondrion, GO:0000209|protein polyubiquitination, GO:0001944|vasculature development, GO:1901800|positive regulation of proteasomal protein catabolic process, GO:0031398|positive regulation of protein ubiquitination, GO:0032880|regulation of protein localization, GO:2001205|negative regulation of osteoclast development, GO:0045741|positive regulation of epidermal growth factor-activated receptor activity, GO:1902806|regulation of cell cycle G1/S phase transition, GO:0031146|SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, GO:0007062|sister chromatid cohesion, GO:0032876|negative regulation of DNA endoreduplication, GO:0051443|positive regulation of ubiquitin-protein transferase activity, GO:1903378|positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway, GO:0001570|vasculogenesis, GO:0007219|Notch signaling pathway, GO:0010883|regulation of lipid storage, GO:0010992|ubiquitin recycling, GO:0030324|lung development, GO:0031648|protein destabilization, GO:0090049|regulation of cell migration involved in sprouting angiogenesis, GO:1903026|negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding, GO:2000346|negative regulation of hepatocyte proliferation, GO:2000639|negative regulation of SREBP signaling pathway","GO:0005515|protein binding, GO:0042802|identical protein binding, GO:0043130|ubiquitin binding, GO:0030332|cyclin binding, GO:0031625|ubiquitin protein ligase binding, GO:0004842|ubiquitin-protein transferase activity, GO:0030674|protein binding, bridging, GO:0097027|ubiquitin-protein transferase activator activity, GO:0050816|phosphothreonine residue binding"
AMER1,Nonsense,0.687474419839082,21,0.000574071833742763,Y,TSG,TSG,0.602458385327368,0.00384958651511178,ENSG00000184675,"GO:0005634|nucleus, GO:0005737|cytoplasm, GO:0016020|membrane, GO:0043231|intracellular membrane-bounded organelle, GO:0005886|plasma membrane, GO:0016604|nuclear body, GO:0005829|cytosol","GO:0016055|Wnt signaling pathway, GO:0090090|negative regulation of canonical Wnt signaling pathway, GO:0090263|positive regulation of canonical Wnt signaling pathway, GO:1904886|beta-catenin destruction complex disassembly, GO:1904885|beta-catenin destruction complex assembly, GO:0031398|positive regulation of protein ubiquitination, GO:0060828|regulation of canonical Wnt signaling pathway, GO:1903364|positive regulation of cellular protein catabolic process, GO:0001822|kidney development, GO:0060348|bone development, GO:0060612|adipose tissue development, GO:0072161|mesenchymal cell differentiation involved in kidney development","GO:0005515|protein binding, GO:0008289|lipid binding, GO:0005546|phosphatidylinositol-4,5-bisphosphate binding, GO:0008013|beta-catenin binding, GO:1904713|beta-catenin destruction complex binding"
RUNX1T1,Nonsense,0.67828310417831,15,0.00544393121804987,Y,"oncogene, TSG, fusion","",0.744921218122194,0.00144030253888822,ENSG00000079102,"GO:0005634|nucleus, GO:0005654|nucleoplasm, GO:0016363|nuclear matrix","GO:0006355|regulation of transcription, DNA-templated, GO:0045892|negative regulation of transcription, DNA-templated, GO:0045599|negative regulation of fat cell differentiation, GO:0006091|generation of precursor metabolites and energy","GO:0046872|metal ion binding, GO:0003677|DNA binding, GO:0003700|DNA-binding transcription factor activity, GO:0003714|transcription corepressor activity, GO:0005515|protein binding"
PTCH1,Nonsense,0.627645914460848,13,0.0216408574773761,N,TSG,TSG,0.862757388808079,0.000146776042768156,ENSG00000185920,"GO:0048471|perinuclear region of cytoplasm, GO:0016020|membrane, GO:0016021|integral component of membrane, GO:0005886|plasma membrane, GO:0030666|endocytic vesicle membrane, GO:0043231|intracellular membrane-bounded organelle, GO:0005901|caveola, GO:0005794|Golgi apparatus, GO:0060170|ciliary membrane, GO:0005634|nucleus, GO:0005929|cilium, GO:0014069|postsynaptic density, GO:0030496|midbody, GO:0044294|dendritic growth cone, GO:0044295|axonal growth cone","GO:0071397|cellular response to cholesterol, GO:0043433|negative regulation of DNA-binding transcription factor activity, GO:0045668|negative regulation of osteoblast differentiation, GO:0007224|smoothened signaling pathway, GO:0060037|pharyngeal system development, GO:0000122|negative regulation of transcription by RNA polymerase II, GO:0009887|animal organ morphogenesis, GO:0016485|protein processing, GO:0009953|dorsal/ventral pattern formation, GO:0040015|negative regulation of multicellular organism growth, GO:0010875|positive regulation of cholesterol efflux, GO:0072001|renal system development, GO:0007420|brain development, GO:0072659|protein localization to plasma membrane, GO:0008589|regulation of smoothened signaling pathway, GO:0045879|negative regulation of smoothened signaling pathway, GO:0061053|somite development, GO:0030326|embryonic limb morphogenesis, GO:0001658|branching involved in ureteric bud morphogenesis, GO:0001701|in utero embryonic development, GO:0001709|cell fate determination, GO:0001841|neural tube formation, GO:0001843|neural tube closure, GO:0003007|heart morphogenesis, GO:0007165|signal transduction, GO:0007346|regulation of mitotic cell cycle, GO:0007389|pattern specification process, GO:0008285|negative regulation of cell proliferation, GO:0008544|epidermis development, GO:0009612|response to mechanical stimulus, GO:0009957|epidermal cell fate specification, GO:0010157|response to chlorate, GO:0014070|response to organic cyclic compound, GO:0021522|spinal cord motor neuron differentiation, GO:0021532|neural tube patterning, GO:0021904|dorsal/ventral neural tube patterning, GO:0021997|neural plate axis specification, GO:0030850|prostate gland development, GO:0030879|mammary gland development, GO:0032355|response to estradiol, GO:0032526|response to retinoic acid, GO:0032880|regulation of protein localization, GO:0035108|limb morphogenesis, GO:0035137|hindlimb morphogenesis, GO:0040008|regulation of growth, GO:0042127|regulation of cell proliferation, GO:0042493|response to drug, GO:0042593|glucose homeostasis, GO:0043616|keratinocyte proliferation, GO:0045606|positive regulation of epidermal cell differentiation, GO:0045892|negative regulation of transcription, DNA-templated, GO:0045893|positive regulation of transcription, DNA-templated, GO:0048568|embryonic organ development, GO:0050680|negative regulation of epithelial cell proliferation, GO:0051782|negative regulation of cell division, GO:0060603|mammary gland duct morphogenesis, GO:0060644|mammary gland epithelial cell differentiation, GO:0060831|smoothened signaling pathway involved in dorsal/ventral neural tube patterning, GO:0061005|cell differentiation involved in kidney development, GO:0071679|commissural neuron axon guidance, GO:0072203|cell proliferation involved in metanephros development, GO:0097421|liver regeneration","GO:0005515|protein binding, GO:0015485|cholesterol binding, GO:0030332|cyclin binding, GO:0005113|patched binding, GO:0005119|smoothened binding, GO:0008158|hedgehog receptor activity, GO:0008201|heparin binding, GO:0044877|protein-containing complex binding, GO:0097108|hedgehog family protein binding"
BCOR,Nonsense,0.604009591154724,26,0.00108496641434553,Y,"TSG, fusion",TSG,0.782850705582932,2.28084166924952e-06,ENSG00000183337,"GO:0005634|nucleus, GO:0140261|BCOR complex","GO:0006325|chromatin organization, GO:0000122|negative regulation of transcription by RNA polymerase II, GO:0007507|heart development, GO:0045892|negative regulation of transcription, DNA-templated, GO:0060021|roof of mouth development, GO:0051572|negative regulation of histone H3-K4 methylation, GO:0035518|histone H2A monoubiquitination, GO:0030502|negative regulation of bone mineralization, GO:0042476|odontogenesis, GO:0000415|negative regulation of histone H3-K36 methylation, GO:0065001|specification of axis polarity, GO:0070171|negative regulation of tooth mineralization, GO:0001835|blastocyst hatching","GO:0005515|protein binding, GO:0004842|ubiquitin-protein transferase activity, GO:0003714|transcription corepressor activity, GO:0008134|transcription factor binding, GO:0044212|transcription regulatory region DNA binding, GO:0042826|histone deacetylase binding, GO:0031072|heat shock protein binding, GO:0000977|RNA polymerase II regulatory region sequence-specific DNA binding"
RNF43,Nonsense,0.603371239142719,21,0.00378224863007464,Y,TSG,TSG,0.70463614953962,0.00036201259443998,ENSG00000108375,"GO:0005634|nucleus, GO:0016020|membrane, GO:0016021|integral component of membrane, GO:0005783|endoplasmic reticulum, GO:0005789|endoplasmic reticulum membrane, GO:0005886|plasma membrane, GO:0005887|integral component of plasma membrane, GO:0005635|nuclear envelope","GO:0016567|protein ubiquitination, GO:0006511|ubiquitin-dependent protein catabolic process, GO:0007275|multicellular organism development, GO:0016055|Wnt signaling pathway, GO:0030178|negative regulation of Wnt signaling pathway, GO:0072089|stem cell proliferation, GO:0038018|Wnt receptor catabolic process","GO:0046872|metal ion binding, GO:0016740|transferase activity, GO:0005515|protein binding, GO:0004842|ubiquitin-protein transferase activity, GO:0061630|ubiquitin protein ligase activity, GO:0005109|frizzled binding"
PTEN,Nonsense,0.597578584896215,49,5.80502725836628e-06,Y,TSG,TSG,0.827104862689757,2.40631811295076e-13,ENSG00000171862,"GO:0005737|cytoplasm, GO:0005634|nucleus, GO:0005829|cytosol, GO:0005654|nucleoplasm, GO:0005886|plasma membrane, GO:0042995|cell projection, GO:0005576|extracellular region, GO:0016324|apical plasma membrane, GO:0005739|mitochondrion, GO:0035749|myelin sheath adaxonal region, GO:0043005|neuron projection, GO:0043197|dendritic spine, GO:0043220|Schmidt-Lanterman incisure, GO:0045211|postsynaptic membrane, GO:0009898|cytoplasmic side of plasma membrane, GO:0016605|PML body","GO:0008284|positive regulation of cell proliferation, GO:1904706|negative regulation of vascular smooth muscle cell proliferation, GO:0008285|negative regulation of cell proliferation, GO:0051898|negative regulation of protein kinase B signaling, GO:0070373|negative regulation of ERK1 and ERK2 cascade, GO:0050821|protein stabilization, GO:0051091|positive regulation of DNA-binding transcription factor activity, GO:2000134|negative regulation of G1/S transition of mitotic cell cycle, GO:0030336|negative regulation of cell migration, GO:0010719|negative regulation of epithelial to mesenchymal transition, GO:0014067|negative regulation of phosphatidylinositol 3-kinase signaling, GO:0006629|lipid metabolic process, GO:0016311|dephosphorylation, GO:0035335|peptidyl-tyrosine dephosphorylation, GO:0006915|apoptotic process, GO:0006470|protein dephosphorylation, GO:0046855|inositol phosphate dephosphorylation, GO:0046856|phosphatidylinositol dephosphorylation, GO:0007399|nervous system development, GO:0007507|heart development, GO:0016477|cell migration, GO:0016579|protein deubiquitination, GO:0008283|cell proliferation, GO:0001525|angiogenesis, GO:0001933|negative regulation of protein phosphorylation, GO:0002902|regulation of B cell apoptotic process, GO:0007270|neuron-neuron synaptic transmission, GO:0007416|synapse assembly, GO:0007417|central nervous system development, GO:0007568|aging, GO:0007584|response to nutrient, GO:0007611|learning or memory, GO:0007613|memory, GO:0007626|locomotory behavior, GO:0009749|response to glucose, GO:0010033|response to organic substance, GO:0010035|response to inorganic substance, GO:0010043|response to zinc ion, GO:0010628|positive regulation of gene expression, GO:0010666|positive regulation of cardiac muscle cell apoptotic process, GO:0010975|regulation of neuron projection development, GO:0014070|response to organic cyclic compound, GO:0014823|response to activity, GO:0021542|dentate gyrus development, GO:0021955|central nervous system neuron axonogenesis, GO:0030534|adult behavior, GO:0031175|neuron projection development, GO:0031642|negative regulation of myelination, GO:0032228|regulation of synaptic transmission, GABAergic, GO:0032286|central nervous system myelin maintenance, GO:0032355|response to estradiol, GO:0032535|regulation of cellular component size, GO:0032869|cellular response to insulin stimulus, GO:0033032|regulation of myeloid cell apoptotic process, GO:0033198|response to ATP, GO:0033555|multicellular organismal response to stress, GO:0035176|social behavior, GO:0036294|cellular response to decreased oxygen levels, GO:0042493|response to drug, GO:0042711|maternal behavior, GO:0043065|positive regulation of apoptotic process, GO:0043066|negative regulation of apoptotic process, GO:0043491|protein kinase B signaling, GO:0043542|endothelial cell migration, GO:0044320|cellular response to leptin stimulus, GO:0045471|response to ethanol, GO:0045475|locomotor rhythm, GO:0045666|positive regulation of neuron differentiation, GO:0045792|negative regulation of cell size, GO:0046621|negative regulation of organ growth, GO:0046685|response to arsenic-containing substance, GO:0048008|platelet-derived growth factor receptor signaling pathway, GO:0048679|regulation of axon regeneration, GO:0048681|negative regulation of axon regeneration, GO:0048738|cardiac muscle tissue development, GO:0048853|forebrain morphogenesis, GO:0048854|brain morphogenesis, GO:0050680|negative regulation of epithelial cell proliferation, GO:0050765|negative regulation of phagocytosis, GO:0050771|negative regulation of axonogenesis, GO:0051726|regulation of cell cycle, GO:0060024|rhythmic synaptic transmission, GO:0060044|negative regulation of cardiac muscle cell proliferation, GO:0060074|synapse maturation, GO:0060134|prepulse inhibition, GO:0060179|male mating behavior, GO:0060291|long-term synaptic potentiation, GO:0060292|long-term synaptic depression, GO:0060341|regulation of cellular localization, GO:0060736|prostate gland growth, GO:0060997|dendritic spine morphogenesis, GO:0061002|negative regulation of dendritic spine morphogenesis, GO:0070374|positive regulation of ERK1 and ERK2 cascade, GO:0071361|cellular response to ethanol, GO:0071456|cellular response to hypoxia, GO:0090071|negative regulation of ribosome biogenesis, GO:0090344|negative regulation of cell aging, GO:0090394|negative regulation of excitatory postsynaptic potential, GO:0097105|presynaptic membrane assembly, GO:0097107|postsynaptic density assembly, GO:1901017|negative regulation of potassium ion transmembrane transporter activity, GO:1904668|positive regulation of ubiquitin protein ligase activity, GO:1990090|cellular response to nerve growth factor stimulus, GO:1990314|cellular response to insulin-like growth factor stimulus, GO:2000272|negative regulation of signaling receptor activity, GO:2000463|positive regulation of excitatory postsynaptic potential, GO:2000808|negative regulation of synaptic vesicle clustering, GO:2001235|positive regulation of apoptotic signaling pathway, GO:0031647|regulation of protein stability, GO:0006367|transcription initiation from RNA polymerase II promoter, GO:0006661|phosphatidylinositol biosynthetic process, GO:0060070|canonical Wnt signaling pathway, GO:0051895|negative regulation of focal adhesion assembly, GO:0043647|inositol phosphate metabolic process, GO:2000060|positive regulation of ubiquitin-dependent protein catabolic process, GO:0000079|regulation of cyclin-dependent protein serine/threonine kinase activity, GO:1903984|positive regulation of TRAIL-activated apoptotic signaling pathway, GO:0051548|negative regulation of keratinocyte migration, GO:0071257|cellular response to electrical stimulus, GO:1903690|negative regulation of wound healing, spreading of epidermal cells","GO:0016787|hydrolase activity, GO:0004721|phosphoprotein phosphatase activity, GO:0005515|protein binding, GO:0004725|protein tyrosine phosphatase activity, GO:0008138|protein tyrosine/serine/threonine phosphatase activity, GO:0008289|lipid binding, GO:0042802|identical protein binding, GO:0005161|platelet-derived growth factor receptor binding, GO:0016314|phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase activity, GO:0019901|protein kinase binding, GO:0030165|PDZ domain binding, GO:0035255|ionotropic glutamate receptor binding, GO:0051717|inositol-1,3,4,5-tetrakisphosphate 3-phosphatase activity, GO:0051800|phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity, GO:1990782|protein tyrosine kinase binding, GO:0019899|enzyme binding, GO:0004722|protein serine/threonine phosphatase activity, GO:0004438|phosphatidylinositol-3-phosphatase activity, GO:0010997|anaphase-promoting complex binding, GO:1990381|ubiquitin-specific protease binding"
TP53,Nonsense,0.59725081631346,66,1.19915970334979e-07,Y,"oncogene, TSG, fusion","",0.884196920927171,7.79598974463354e-23,ENSG00000141510,"GO:0005634|nucleus, GO:0005737|cytoplasm, GO:0016020|membrane, GO:0016021|integral component of membrane, GO:0005654|nucleoplasm, GO:0005783|endoplasmic reticulum, GO:0005829|cytosol, GO:0005739|mitochondrion, GO:0005759|mitochondrial matrix, GO:0005730|nucleolus, GO:0000790|nuclear chromatin, GO:0016363|nuclear matrix, GO:0032991|protein-containing complex, GO:0016605|PML body, GO:0005622|intracellular, GO:0005669|transcription factor TFIID complex, GO:0016604|nuclear body, GO:0005667|transcription factor complex","GO:0006355|regulation of transcription, DNA-templated, GO:0006915|apoptotic process, GO:0007049|cell cycle, GO:0051262|protein tetramerization, GO:0010628|positive regulation of gene expression, GO:0008285|negative regulation of cell proliferation, GO:0045944|positive regulation of transcription by RNA polymerase II, GO:0045893|positive regulation of transcription, DNA-templated, GO:0045899|positive regulation of RNA polymerase II transcriptional preinitiation complex assembly, GO:0006974|cellular response to DNA damage stimulus, GO:0048511|rhythmic process, GO:0007275|multicellular organism development, GO:0030154|cell differentiation, GO:0006977|DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest, GO:0016579|protein deubiquitination, GO:0008283|cell proliferation, GO:0007050|cell cycle arrest, GO:0043065|positive regulation of apoptotic process, GO:0016032|viral process, GO:0006284|base-excision repair, GO:0050731|positive regulation of peptidyl-tyrosine phosphorylation, GO:0008104|protein localization, GO:0030308|negative regulation of cell growth, GO:0042981|regulation of apoptotic process, GO:0000122|negative regulation of transcription by RNA polymerase II, GO:0045892|negative regulation of transcription, DNA-templated, GO:1901796|regulation of signal transduction by p53 class mediator, GO:0019221|cytokine-mediated signaling pathway, GO:0035690|cellular response to drug, GO:0012501|programmed cell death, GO:0090200|positive regulation of release of cytochrome c from mitochondria, GO:2001244|positive regulation of intrinsic apoptotic signaling pathway, GO:0090399|replicative senescence, GO:1902895|positive regulation of pri-miRNA transcription by RNA polymerase II, GO:0065003|protein-containing complex assembly, GO:0032461|positive regulation of protein oligomerization, GO:0009299|mRNA transcription, GO:0007569|cell aging, GO:0071456|cellular response to hypoxia, GO:0042771|intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator, GO:1900740|positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway, GO:0043153|entrainment of circadian clock by photoperiod, GO:0042149|cellular response to glucose starvation, GO:0071158|positive regulation of cell cycle arrest, GO:0072332|intrinsic apoptotic signaling pathway by p53 class mediator, GO:1990440|positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress, GO:0030330|DNA damage response, signal transduction by p53 class mediator, GO:0046677|response to antibiotic, GO:0097252|oligodendrocyte apoptotic process, GO:0048512|circadian behavior, GO:0000733|DNA strand renaturation, GO:0043066|negative regulation of apoptotic process, GO:1903800|positive regulation of production of miRNAs involved in gene silencing by miRNA, GO:2000379|positive regulation of reactive oxygen species metabolic process, GO:0048147|negative regulation of fibroblast proliferation, GO:0007265|Ras protein signal transduction, GO:0071480|cellular response to gamma radiation, GO:0006289|nucleotide-excision repair, GO:0006914|autophagy, GO:0006978|DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator, GO:0006983|ER overload response, GO:0008340|determination of adult lifespan, GO:0010332|response to gamma radiation, GO:0031497|chromatin assembly, GO:0031571|mitotic G1 DNA damage checkpoint, GO:0034644|cellular response to UV, GO:0046827|positive regulation of protein export from nucleus, GO:0046902|regulation of mitochondrial membrane permeability, GO:0051097|negative regulation of helicase activity, GO:0051123|RNA polymerase II preinitiation complex assembly, GO:0051289|protein homotetramerization, GO:0051974|negative regulation of telomerase activity, GO:0070245|positive regulation of thymocyte apoptotic process, GO:0071479|cellular response to ionizing radiation, GO:0072331|signal transduction by p53 class mediator, GO:0072717|cellular response to actinomycin D, GO:0090403|oxidative stress-induced premature senescence, GO:0097193|intrinsic apoptotic signaling pathway, GO:1900119|positive regulation of execution phase of apoptosis, GO:1902749|regulation of cell cycle G2/M phase transition","GO:0046872|metal ion binding, GO:0003677|DNA binding, GO:0003700|DNA-binding transcription factor activity, GO:0044212|transcription regulatory region DNA binding, GO:0005524|ATP binding, GO:0008270|zinc ion binding, GO:0005515|protein binding, GO:0042802|identical protein binding, GO:0000981|DNA-binding transcription factor activity, RNA polymerase II-specific, GO:0019901|protein kinase binding, GO:0003682|chromatin binding, GO:0001228|DNA-binding transcription activator activity, RNA polymerase II-specific, GO:0031625|ubiquitin protein ligase binding, GO:0047485|protein N-terminus binding, GO:0019899|enzyme binding, GO:0019903|protein phosphatase binding, GO:0008134|transcription factor binding, GO:0002020|protease binding, GO:0005507|copper ion binding, GO:0046982|protein heterodimerization activity, GO:0001085|RNA polymerase II transcription factor binding, GO:0000980|RNA polymerase II distal enhancer sequence-specific DNA binding, GO:0051087|chaperone binding, GO:0002039|p53 binding, GO:1990841|promoter-specific chromatin binding, GO:0051721|protein phosphatase 2A binding, GO:0003730|mRNA 3'-UTR binding, GO:0097718|disordered domain specific binding, GO:0035035|histone acetyltransferase binding, GO:0000978|RNA polymerase II proximal promoter sequence-specific DNA binding, GO:0001046|core promoter sequence-specific DNA binding, GO:0001094|TFIID-class transcription factor complex binding, GO:0030971|receptor tyrosine kinase binding, GO:0042826|histone deacetylase binding, GO:0043621|protein self-association"
CDKN2A,Nonsense,0.594306049822064,12,0.0415643532312685,N,TSG,TSG,0.802195265448477,0.00169285527970522,ENSG00000147889,"GO:0005634|nucleus, GO:0005737|cytoplasm, GO:0005829|cytosol, GO:0035985|senescence-associated heterochromatin focus, GO:0005730|nucleolus, GO:0005739|mitochondrion, GO:0005654|nucleoplasm","GO:0008285|negative regulation of cell proliferation, GO:0001953|negative regulation of cell-matrix adhesion, GO:0032088|negative regulation of NF-kappaB transcription factor activity, GO:0016310|phosphorylation, GO:0007049|cell cycle, GO:0045892|negative regulation of transcription, DNA-templated, GO:0090399|replicative senescence, GO:0030308|negative regulation of cell growth, GO:0007050|cell cycle arrest, GO:0007265|Ras protein signal transduction, GO:0090398|cellular senescence, GO:0034393|positive regulation of smooth muscle cell apoptotic process, GO:0000082|G1/S transition of mitotic cell cycle, GO:0035986|senescence-associated heterochromatin focus assembly, GO:2000774|positive regulation of cellular senescence, GO:0045736|negative regulation of cyclin-dependent protein serine/threonine kinase activity, GO:0042326|negative regulation of phosphorylation, GO:2000111|positive regulation of macrophage apoptotic process, GO:0006919|activation of cysteine-type endopeptidase activity involved in apoptotic process, GO:0006469|negative regulation of protein kinase activity, GO:0006915|apoptotic process, GO:0045893|positive regulation of transcription, DNA-templated, GO:0016925|protein sumoylation, GO:0006364|rRNA processing, GO:0045944|positive regulation of transcription by RNA polymerase II, GO:0043065|positive regulation of apoptotic process, GO:0070534|protein K63-linked ubiquitination, GO:0031647|regulation of protein stability, GO:0008637|apoptotic mitochondrial changes, GO:0051444|negative regulation of ubiquitin-protein transferase activity, GO:0000209|protein polyubiquitination, GO:1902510|regulation of apoptotic DNA fragmentation, GO:0010628|positive regulation of gene expression, GO:0050821|protein stabilization, GO:1990000|amyloid fibril formation, GO:0033088|negative regulation of immature T cell proliferation in thymus, GO:1904667|negative regulation of ubiquitin protein ligase activity, GO:2000059|negative regulation of ubiquitin-dependent protein catabolic process, GO:2000435|negative regulation of protein neddylation, GO:0031648|protein destabilization, GO:0030889|negative regulation of B cell proliferation, GO:0010389|regulation of G2/M transition of mitotic cell cycle, GO:0033235|positive regulation of protein sumoylation, GO:0048103|somatic stem cell division","GO:0003723|RNA binding, GO:0016301|kinase activity, GO:0005515|protein binding, GO:0019901|protein kinase binding, GO:0004861|cyclin-dependent protein serine/threonine kinase inhibitor activity, GO:0051059|NF-kappaB binding, GO:0003677|DNA binding, GO:0019789|SUMO transferase activity, GO:0008134|transcription factor binding, GO:0097718|disordered domain specific binding, GO:1990948|ubiquitin ligase inhibitor activity, GO:0055105|ubiquitin-protein transferase inhibitor activity"
